Parameter,Values
chestHR,"[62,63,64,65,61,60,59,58,57,66,67,68,69,70,71,72,73,74,75,56,55,54,53]"
chestIBI,"[963,930,1010,1049,998,955,1012,1041,1002,994,1031,1035,975,1000,1016,1039,982,969,945,902,939,980,953,832,879,871,986,1051,1004,1043,938,990,947,928,873,813,820,838,900,957,941,943,914,885,854,883,949,1045,1098,1090,1020,1006,1014,877,932,904,891,967,1057,1102,1063,924,898,859,926,910,867,934,988,916,895,1021,912,1023,918,979,889,850,865,836,797,881,1076,1064,973,1037,996,1070,1092,1066,1055,961,1061,1074,1027,1047,1029,826,922,951,896,906,1018,1080,1008,1053,1119,1123,1088,1082,1107,971,1059,1033,822,908,887]"
chestRPeak,"[827,732,795,767,816,679,731,753,774,706,829,835,746,709,770,786,760,757,809,733,710,764,805,723,792,857,865,924,799,756,780,826,819,674,776,818,750,665,633,738,793,655,761,910,915,693,766,779,823,822,745,808,848,672,635,636,611,643,652,777,720,751,755,801,743,694,690,794,657,623,671,669,680,698,763,775,714,802,877,847,861,782,684,748,715,632,606,603,687,791,742,700,815,728,740,807,744,722,806,881,864,713,758,842,695,691,688,765,812,771,716,689,789,676,668,685,752,634,663,729,719,727,737,712,837,870,855,778,825,797,717,749,820,796,718,824,721,772,747,711,682,759,828,773,817,724,830,734,811,707,602,579,568,639,699,762,804,850,831,878,941,853,839,739,726]"
chestRI,"[1734,1531,1656,2750,1703,1625,1422,2859,1188,2531,1359,2641,1109,3547,1000,1797,859,1953,1672,1219,2297,1484,1203,1125,781,1281,1406,1906,1891,1500,1266,2031,1547,1609,2109,1594,1328,1469,1578,969,1375,1844,1938,2156,1156,1391,1234,875,1438,2344,1813,938,1313,2188,984,2375,1719,1641,1453,2234,1250,4078,4219,3516,2016,4094,2094,1781,2000,2828,1016,3047,2047,1031,1750,2172,1984,2063,1344,6141,1688,1297,2469,4266,3656,2844,891,2141,3469,2438,3969]"
chestRPeaks,"[0.4,0.5,0.6,0.7,0.3,0.8,1.1,0.9,1.4,1.0,1.2,2.4]"
chestRR,"[35,34,36,37,38,39,40,33,32,31,30,29,28,27,26,25,24,23,22,21,41,42,43,44,20,19,45,47,49,52,53,55,56,54,51,50,48,46,57,60,62,63,64,58,18,17,16,59,61,67,71,74,77,79,80,78,76,68,65,66,83,85,86,84,82,73,70,69,75,72,15,14,13,81,12,11,10,9,8,7]"
fingerEDA,"[0.02,0.01]"
fingerEDASC,"[0.02,0.01]"
fingerEDATD,"[0.01,0.02]"
fingerEDAPD,"[0.00,0.01]"
fingerSpO2,"[98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.7,100.0,0.0]"
fingerSKT,"[34.3,34.4]"
