Parameter,Values
fingerSpO2,"[96.3,96.4,96.5,96.6,96.7,96.8,96.9,97.0,97.1,97.2,97.3,97.4,97.5,97.6,97.7,97.8,97.9,98.0,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.7,0.0]"
fingerSKT,"[33.6,33.5,33.4,33.3]"
Fp1,"[0.2597,0.2572,0.0882,0.0857,0,0.2821,0.2688,0.272,0.2415,0.2488,0.221,0.2222,0.2174,0.0145,0.0145]"
Fp2,"[0.1104,0.0874,0.0838,0.0814,0,0.343,0.3211,0.2478,0.1546,0.0891,0,0,0,0,0]"
AF3,"[0.4099,0.3413,0.4268,0.4244,0.4019,0.3618,0.3152,0.2403,0.4239,0.4152,0.2903,0.2493,0.4167,0.3623,0.3623]"
AF4,"[0.407,0.3704,0.3459,0.2611,0.2469,0.401,0.3606,0.3121,0.2696,0.2807,0.3198,0.2349,0.2138,0.3623,0.3623]"
Fz,"[0.4367,0.3785,0.3539,0.2186,0.4019,0.4188,0.3978,0.3449,0.4239,0.4152,0.2156,0.2156,0.2712,0.3623,0.3623]"
F7,"[0,0,0,0,0,0.0145,0.0145,0.0145,0.0145,0.0145,0.0217,0.0217,0.0217,0.0145,0.0145]"
F8,"[0.0734,0.0698,0.065,0.065,0.0548,0.1256,0.1244,0.1135,0.1075,0.1085,0.1118,0.0648,0.0631,0.0425,0.0425]"
FC5,"[0,0,0,0,0,0,0,0,0,0,0.0217,0.0217,0.0217,0,0]"
FC6,"[0.4324,0.4203,0.3787,0.3787,0.3092,0.3954,0.4341,0.3961,0.3841,0.3884,0.1273,0.1708,0.1659,0.0942,0.0942]"
FT7,"[0,0,0,0,0,0.0145,0.0145,0.0145,0.0145,0.0145,0.0314,0.0314,0.0314,0.0145,0.0145]"
FT8,"[0.1353,0.128,0.1184,0.1184,0.0988,0.128,0.1329,0.1171,0.1135,0.1377,0.1056,0.1209,0.1183,0.0737,0.0737]"
Cz,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
C3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
C4,"[0.0145,0,0,0,0,0.122,0.1534,0.0145,0.0145,0.0145,0.06,0.057,0.0561,0.0217,0.0145]"
CP3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
CP4,"[0.0145,0,0,0,0,0.1135,0.0826,0.0145,0.0145,0.0145,0.1135,0.1091,0.1079,0.0314,0.0145]"
Pz,"[0.0971,0.0778,0,0,0,0.4505,0.4486,0.4396,0.1159,0.1,0.2295,0.1865,0.1838,0.0145,0.0145]"
P3,"[0.1027,0.0954,0.0882,0.0857,0.0638,0.4589,0.4553,0.4469,0.4312,0.4287,0.0923,0.0899,0.085,0.0519,0.0519]"
P4,"[0.099,0,0,0,0,0.2923,0.3587,0.4396,0,0,0.1577,0.1502,0.1486,0.0217,0]"
PO3,"[0.4361,0.3969,0.3482,0.3092,0.2874,0.399,0.3963,0.3775,0.363,0.3536,0.3452,0.3495,0.335,0.1232,0.1232]"
PO4,"[0.4163,0.412,0.4303,0.3913,0.3659,0.4023,0.4092,0.4193,0.4184,0.421,0.2905,0.3388,0.2856,0.4002,0.4002]"
Oz,"[0.4403,0.4172,0.4037,0.3275,0.357,0.4438,0.4206,0.4314,0.4589,0.3911,0.4378,0.4354,0.4354,0.4002,0.4002]"
O1,"[0.456,0.4266,0.4068,0.3899,0.3208,0.4604,0.458,0.4314,0.4589,0.3911,0.2816,0.33,0.3831,0.2838,0.2838]"
O2,"[0.4237,0.4244,0.4205,0.3418,0.3297,0.4144,0.4255,0.3951,0.3918,0.3411,0.3364,0.3364,0.4354,0.4002,0.4002]"


