Parameter,Values
chestHR,"[70,71,72,73,74,75,76,77,69,68,67,78,79,80,81,82,83,84,85,86,87,88,89,66,65]"
chestIBI,"[861,850,838,852,822,783,816,859,879,877,828,832,834,842,809,781,830,881,869,826,840,811,785,813,820,805,844,883,824,889,891,848,854,846,803,814,836,791,787,777,793,801,797,818,768,779,789,746,764,771,799,742,752,775,762,715,680,674,697,721,754,730,734,807,756,725,717,748,902,904,885,795,855,871,898,863,857,887,750,760,758,773,770,719,729,738,713,727,740,914,873,875,893,896,867]"
chestRPeak,"[1304,1298,1221,1236,1200,1096,1217,1302,1249,1220,1246,1103,1257,1312,1268,1100,1219,1319,1294,1161,1153,1340,1292,1055,1289,1287,1092,1330,1306,1224,1183,1218,1233,1139,1235,1303,1284,1180,1141,1231,1248,1242,1137,1222,1288,1102,1282,1118,1175,1283,1331,1272,1119,1196,1359,1148,1124,1307,1280,1084,1142,1086,1208,1291,1145,1104,1279,1269,1093,1260,1328,1245,1123,1266,1237,1069,1181,1244,1259,1121,1277,1308,1167,1097,1278,1060,1136,1258,1238,1185,1051,1193,1314,1295,1127,1267,1063,1281,1247,1197,1080,1195,1251,1270,1057,1299,1487,1394,1243,1206,1332,1315,1089,1215,1199,1056,1296,1201,1076,1261,1255,1120,1091,1313,1158,1290,1311,1168,1265,1171,1301,1135,1252,1122,1126,1286,1213,1264,1297,1228,1132,1117,1077,1232,1334,1160,1107,1174,1116,1144,1101,1254,1106,1211,1240,1170,1274,1253,1061,1205,1455,1325,1040,1026,1038,1162,1192,1054,1011,1210,1204,1133,1155,1198,1049,1065,1164,1090,1058,1256,1048,1187,1276,1250,1203,1163,1216,1223,1239,1143,1227,1184,1036,1152,1094,1225,1075]"
chestRI,"[1109,938,1828,1578,1297,1813,1734,2016,1391,703,1406,1625,2125,1672,2375,1656,1375,1234,2031,1703,1344,2938,1797,1359,2281,1969,1609,2328,688,1422,1891,1859,1875,1063,906,2063,1563,641,3266,1844,1516,2172,1281,2156,1719,891,1750,2297,1688,1766,859,1172,1484,1922,2469,1219,2203,766,1078,2047,1906,2000,1547,1188,1156,2109,1500,672,1469,2141,1453,734,2250,2344,1938,797,1266,922,1313,2828,1641,2078,1781,1984,1594,1094,844,3813,1438,4188,813]"
chestRPeaks,"[0.8,0.5,0.6,1.0,0.7,0.9,1.2,1.1,1.3,0.4,1.6,1.4,2.2,2.0,1.5,2.8]"
chestRR,"[54,53,52,55,56,57,58,59,60,61,62,63,64,65,66,67,68,50,49,48,46,45,44,43,41,40,39,38,37,36,35,34,33,32,42,31,30,47,70,74,79,83,87,90,91,89,86,76,72,51,29,28,27,26,25,24,23,22,21,20,19,75,82,95,100,97,92,81,71,69,73,96,88,80,18,85,94,77,84,93,78,98,99,17,16,15,14,13]"
fingerEDA,"[0.25,0.26,0.24,0.23]"
fingerEDASC,"[0.25,0.26,0.24,0.23]"
fingerEDATD,"[0.25,0.24,0.23]"
fingerEDAPD,"[0.00,0.01]"
fingerSpO2,"[99.6,99.5,99.4,99.3,99.2,99.1,99.0,98.9,98.8,98.7,98.6,98.5,98.4,98.3,98.2,98.1,98.0,97.9,97.8,97.7,97.6,97.5,97.4,97.3]"
fingerSKT,"[33.3,33.4,33.5,33.6,33.7,33.8,33.9,34.0]"
Fp1,"[0.4084,0.4101,0.4125,0.3850,0.3757,0.4034,0.396,0.3713,0.3539,0.3432,0.4022,0.3813,0.2686,0,0.2329,]"
Fp2,"[0.4246,0.4271,0.4173,0.3932,0.4095,0.4246,0.4248,0.3955,0.3885,0.3768,0.4213,0.3773,0.43,0,0.4143,]"
AF3,"[0.4446,0.4134,0.4018,0.3978,0.4168,0.4526,0.4382,0.4451,0.4116,0.3894,0.3432,0.3582,0.33,0.0145,0.2667,]"
AF4,"[0.4211,0.4225,0.4263,0.3961,0.3913,0.4053,0.4151,0.4014,0.3904,0.4023,0.2476,0,0,0,0,]"
Fz,"[0.4191,0.3932,0.3396,0.294,0.294,0.4338,0.471,0.4589,0.4589,0.3998,0.3623,0.4275,0.4143,0.0145,0.07,]"
F7,"[0.4312,0.4191,0.4215,0.3766,0.412,0.3682,0.3571,0.3638,0.2899,0.2295,0.285,0.2428,0.0845,0,0.0882,]"
F8,"[0.4386,0.4193,0.4025,0.4116,0.3816,0.3879,0.3643,0.3551,0.2271,0.2319,0.364,0.3553,0.2174,0.0145,0.0802,]"
FC5,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]"
FC6,"[0.0145,0.0145,0.0145,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,]"
FT7,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]"
FT8,"[0.0145,0.0145,0.0145,0.0145,0.0145,0,0,0,0,0,0,0,0,0.0145,0,]"
Cz,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]"
C3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]"
C4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]"
CP3,"[0.0978,0.0966,0.0942,0.079,0.0906,0.0942,0.0942,0.0894,0.0894,0.0821,0.0966,0.0766,0.07,0,0.0621,]"
CP4,"[0.0966,0.4662,0.0966,0.0886,0.0954,0,0,0,0,0,0.1051,0,0,0,0,]"
Pz,"[0.471,0.413,0.4662,0.4626,0.4662,0.4541,0.4396,0,0,0,0.1002,0,0,0,0,]"
P3,"[0.4155,0.413,0.3836,0.1461,0.3406,0.3638,0.3638,0.3565,0.3343,0.2705,0.3266,0.3486,0.271,0,0.1292,]"
P4,"[0.413,0.4295,0.413,0.337,0.4106,0.4386,0.4401,0.4565,0.4469,0.436,0.0906,0.0705,0,0,0,]"
PO3,"[0.4029,0.3694,0.3577,0.3464,0.3371,0.4113,0.4089,0.3952,0.3873,0.3667,0.4058,0.3899,0.3264,0,0.2729,]"
PO4,"[0.418,0.4295,0.4098,0.3811,0.4044,0.418,0.4105,0.4168,0.369,0.343,0.3768,0.3841,0.3541,0,0.3249,]"
Oz,"[0.4239,0.3522,0.2783,0.2983,0.2983,0.4164,0.4401,0.401,0.4493,0.4493,0.4179,0.3925,0.3816,0,0.0601,]"
O1,"[0.3563,0.3539,0.3466,0.3466,0.3514,0.4662,0.4638,0.4493,0.4493,0.4493,0.0942,0.0746,0,0,0,]"
O2,"[0.4341,0.3746,0.3225,0.2572,0.2645,0.4122,0.4006,0.3704,0.3501,0.323,0.2995,0.2783,0.32,0,0.2222,]"
