Parameter,Values
fingerSpO2,"[100.0,99.9,99.8,99.7,99.6,99.5,99.4,99.3,99.2,99.1,99.0,98.3,97.5,96.8,96.7,96.4,96.5,96.6,96.2,96.0,95.9,95.8,95.7,95.6,95.4,95.2,95.1,95.0,94.9,94.8,94.7,94.6,94.4,94.2,94.0,93.8,93.7,93.5,93.2,92.9,92.1,91.7,91.5,91.6,91.4,91.0,90.9,92.2,92.4,92.7,92.6,92.8,93.1]"
fingerSKT,"[32.3,32.4]"
Fp1,"[0.3977,0.3768,0.3869,0.3533,0.3616,0.401,0.3913,0.3135,0.301,0.2932,0.4063,0.4063,0.4063,0.372,0.413]"
Fp2,"[0.4244,0.4667,0.3981,0.3795,0.3746,0.3792,0.3841,0.3457,0.3123,0.2826,0.4135,0.4135,0.4135,0.3111,0.413]"
AF3,"[0.4043,0.344,0.3488,0.3333,0.3357,0.4123,0.1056,0.0145,0.0145,0.0145,0,0,0,0,0]"
AF4,"[0.427,0.4194,0.3787,0.3312,0.2993,0.294,0.32,0.4167,0.4094,0.4058,0.4063,0.4063,0.4063,0.4155,0.413]"
Fz,"[0.3246,0.257,0.2546,0.4208,0.4208,0.4123,0.0582,0.0145,0.0145,0.0145,0,0,0,0,0]"
F7,"[0.4824,0.4855,0.3899,0.3606,0.3698,0.3826,0.3802,0.3493,0.3792,0.372,0.413,0.413,0.413,0.4058,0.401]"
F8,"[0.442,0.442,0.3862,0.3302,0.3302,0.294,0.2928,0.2746,0.2746,0.2367,0.3077,0.3077,0.3077,0.2831,0.2604]"
FC5,"[0.436,0.3845,0.3845,0.3321,0.3321,0.3618,0.3606,0.3019,0.3019,0.2754,0.2961,0.2961,0.2961,0.2609,0.2971]"
FC6,"[0.2928,0.2928,0.2879,0.236,0.236,0.4123,0.4116,0.4051,0.4051,0.3998,0.4094,0.4094,0.4094,0.4058,0.4058]"
FT7,"[0.4338,0.4116,0.3978,0.3877,0.3877,0.3826,0.3814,0.3686,0.3686,0.3671,0.3389,0.3389,0.3389,0.271,0.2512]"
FT8,"[0.4377,0.4377,0.4329,0.422,0.422,0.4123,0.4116,0.4051,0.4051,0.3998,0.4094,0.4094,0.4094,0.4058,0.4058]"
Cz,"[0.0819,0.0767,0.0755,0,0,0,0,0,0,0,0,0,0,0,0]"
C3,"[0.1708,0.164,0.164,0.1128,0.1128,0.1087,0.108,0.0942,0.0942,0.058,0.2222,0.2222,0.2222,0.4058,0.401]"
C4,"[0.125,0.125,0.1226,0.0669,0.0669,0,0,0,0,0,0,0,0,0,0]"
CP3,"[0.1207,0.117,0.117,0.0618,0.0618,0.0599,0.0594,0.0529,0.0529,0,0.0604,0.0604,0.0604,0,0]"
CP4,"[0.0669,0.0669,0.0655,0,0,0,0,0,0,0,0,0,0,0,0]"
Pz,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
P3,"[0.0645,0.0622,0.0622,0,0,0,0,0,0,0,0,0,0,0,0]"
P4,"[0.0314,0.0314,0.0314,0,0,0,0,0,0,0,0,0,0,0,0]"
PO3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
PO4,"[0.0507,0.0507,0.0507,0.029,0.029,0.3768,0.3768,0.3696,0.3696,0.3696,0,0,0,0,0]"
Oz,"[0.3744,0.3744,0.3744,0.3696,0.3696,0.3768,0.3768,0.2681,0.2681,0.2681,0.3623,0.3623,0.0145,0.0145,0.0145]"
O1,"[0.3744,0.3744,0.3744,0.3696,0.3696,0.3768,0.3768,0.3696,0.3696,0.3696,0.3623,0.3623,0.0145,0.0145,0.0145]"
O2,"[0.1715,0.1715,0.1715,0.1594,0.1594,0.3768,0.3768,0.2657,0.2657,0.2657,0.3623,0.3623,0,0,0]"
