Parameter,Values
chestHR,"[92,91,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63]"
chestIBI,"[654,633,621,623,648,609,600,588,576,563,553,549,537,533,529,535,547,543,557,555,545,559,578,586,611,664,750,771,813,820,850,830,762,783,824,854,826,842,895,896,871,840,852,863,855,816,836,859,869,891,879,889,875,779,785,799,838,797,867,906,904,811,834,828,795,736,793,803,740,756,705,711,725,723,703,674,715,754,770,729,760,691,727,742,707,744,764,732,717,713,721,746,768,752,699,684,652,625,592,572,596,629,688,682,670,672,668,643,594,574,561,539,531,666,719,738,645,660,693,730,818,883,881,861,848,773,805,777,789,680,678,613,627,701,807,791,686,758,734,695,697,689,801,766,787,809,877,924,928,893,900,846,910,930,945,865,902,887,748,775,615,590,635]"
chestRPeak,"[1020,1022,981,1462,1257,996,1180,1235,1305,1222,1073,886,1011,1099,1183,1329,1227,1296,1132,1175,1145,1321,1245,1266,1150,1269,1253,1236,1241,1234,1272,1283,1260,1199,1252,1237,1223,1205,1206,1195,1219,1218,1197,1275,1247,1162,1261,1243,1193,1265,1271,1264,1217,1256,1226,1192,1263,1238,1258,1250,1231,1203,1267,1215,1120,1276,1214,1248,1130,1131,1306,1309,1216,1313,1289,1154,1317,1298,1158,1285,1320,1303,1200,1255,1326,1290,1181,1342,1293,1212,1211,1294,1282,1312,1268,1171,1288,1167,1254,1224,1302,1304,1166,1229,1301,1297,1310,1273,1194,1300,1332,1308,1278,1178,1244,1315,1307,1230,1280,1287,932,816,989,1075,1082,1054,1014,985,1037,1274,1233,1220,1277,1165,1105,1221,1148,1135,1189,1152,1136,1156,1143,1270,1246,1142,1286,1140,1239,1184,1188,1242,1262,1281,1191,1251,1182,1208,1187,1209,1196,1174,1179,1163,1225,1146,1190,1151,1172,1168,1129,1147,1164,1139,1115,1210,1173,1118,1160,1124,1108,1106,1119,1186,1111,1133,1169,1177,1185,1279,1149,1240,1159,1207,1144,1198,1023,1318,1339,1295,1319]"
chestRI,"[906,1219,1016,1641,859,1047,1203,750,1109,1609,688,1516,1328,1141,1313,1875,2188,1531,2516,1172,797,1266,766,1688,625,1391,813,1500,703,1078,1422,875,1781,828,953,656,1484,1953,1578,1250,2156,1469,719,844,1734,1563,1438,1359,1656,1625,1344,672,1547,1094,609,734,1672,1375,1984,781,641,922,1000,1188,1453,891,1406,1750,1297,1234,2125,1281,1594,1063,1703,2031,938,1156,1906,2109,1797,2219]"
chestRPeaks,"[11.2,9.7,0.1,2.0,2.7,0.6,8.9,1.7,0.5,0.3,0.4,0.7,0.2,0.8,0.0,1.1,0.9,1.2,3.5,1.8,1.0,2.3,1.4,4.4,1.5]"
chestRR,"[66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,64,63,61,60,58,57,56,55,54,53,52,51,50,49,59,47,46,44,43,42,40,39,38,37,36,35,65,62,48,41,34,33,86,91,95,97,96,94,45,32,31,30,29,28,27,26,25,24,23,84,85,83,100,99,92,87,98,88,93,89,90]"
fingerEDA,"[0.6,0.59,0.58,0.57,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49]"
fingerEDASC,"[0.6,0.57,0.58,0.59,0.61,0.62,0.63,0.65,0.66,0.68,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.81,0.83,0.85,0.86,0.87,0.88,0.89,0.9,0.84,0.82,0.8,0.71,0.7,0.69,0.67,0.64,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49]"
fingerEDATD,"[0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49]"
fingerEDAPD,"[0.03,0.00,0.01,0.02,0.04,0.05,0.06,0.07,0.1,0.13,0.14,0.15,0.16,0.17,0.18,0.21,0.22,0.23,0.24,0.2,0.19,0.12,0.11,0.09,0.08]"
