Parameter,Values
chestHR,"[76,77,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,78,79]"
chestIBI,"[791,834,875,918,910,865,900,922,914,906,930,938,949,926,881,947,873,867,908,857,945,951,936,879,893,912,924,887,934,832,916,977,957,904,898,840,869,852,863,877,896,842,826,850,883,891,855,859,885,854,895,830,836,928,941,848,824,844,871,939,861,846,813,889,805,902,797,801,838,814,828,818,932,811,756,809]"
chestRPeak,"[722,761,778,779,807,771,753,763,785,801,744,816,784,821,755,773,767,786,774,760,749,776,765,742,719,795,831,777,769,766,748,809,788,781,758,739,780,791,712,726,787,720,772,724,802,794,790,793,783,757,818,796,751,750,731,770,746,810,752,747,812,756,798,745,813,824,716,805,803,736,738,764,797,759,806,754,762,804,732,768,822,792,666,707,734,713,741,705,743,735,789,709,782,775,811,729,839,677,730,698,710,696,585,626]"
chestRI,"[1594,672,969,1156,1641,1031,719,906,1078,1203,813,1188,875,938,750,859,1000,734,1063,656,1734,1469,1609,766,1109,922,1094,609,797,953,1672,1219,703,1047,688,1688,844,1859,1141,1422,1016,828,641,1828,1531,1406,891,2219,1500,1578,1234,1328,781,1516,1484,2047,1172,625,1313,1563,1719,1438,984,1250,1547,1906,1344,1125,1875,1766,1625,1266,1813,1297]"
chestRPeaks,"[0.8,0.5,0.0,0.6,0.3,0.1,0.4,0.2,0.7,0.9,1.0,1.1]"
chestRR,"[38,37,36,35,34,33,32,31,30,29,28,40,43,46,49,54,59,65,71,78,85,91,96,99,100,98,95,87,83,79,75,68,62,61,58,57,56,55,53,52,51,50,48,47,45,44,42,41,39,64,67,69,72,74,77,81,82,84,73,63,60,70,86,88,90,89,80,66,76,92,97,93,94,27,26,25,24]"
fingerEDA,"[0.68,0.72,0.76,0.79,0.8,0.82,0.81,0.78,0.83,0.84,0.85,0.77,0.75,0.74,0.73,0.71,0.7,0.69,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51]"
fingerEDASC,"[0.68,0.80,0.79,0.81,0.82,0.83,0.84,0.85,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53]"
fingerEDATD,"[0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53]"
fingerEDAPD,"[0.00,0.11,0.12,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01]"
fingerSpO2,[0.0]
fingerSKT,"[31.0,30.9,30.8]"
Fp1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Fp2,"[0,0,0,0,0,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0217,0.0217,0.0217,0]"
AF3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
AF4,"[0,0,0,0,0,0.0145,0.0145,0.0145,0.0145,0.0145,0.0722,0.0314,0.0314,0.0314,0.0145]"
Fz,"[0,0,0,0,0,0.0495,0,0,0,0,0.0918,0.0217,0.0217,0.0217,0.0145]"
F7,"[0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623]"
F8,"[0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.3623,0.3623,0.0217,0.0217,0.0217]"
FC5,"[0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623]"
FC6,"[0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217,0.3623,0.3623,0.0217,0.0217,0.0217]"
FT7,"[0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623,0.3623]"
FT8,"[0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.3623,0.3623,0.0314,0.0314,0.0314]"
Cz,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
C3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
C4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
CP3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
CP4,"[0.0145,0.0145,0.0145,0.0145,0,0.0415,0.0145,0.0145,0.0145,0,0.0476,0.0217,0.0217,0.0145,0]"
Pz,"[0,0,0,0,0,0,0,0,0,0,0.0476,0.0217,0.0217,0,0]"
P3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
P4,"[0.0145,0.0145,0.0145,0.0145,0,0.0713,0.0145,0.0145,0.0145,0,0.1007,0.0314,0.0314,0.0145,0]"
PO3,"[0,0,0,0,0,0.0428,0.0145,0.0145,0,0,0,0,0,0,0]"
PO4,"[0.0217,0.0217,0.0217,0.0217,0.0217,0.2053,0.3623,0.3623,0.0217,0.0217,0.221,0.3623,0.3623,0.3623,0.3623]"
Oz,"[0.0217,0.0217,0.0217,0.0217,0.0217,0.1667,0.3623,0.3623,0.0217,0.0217,0.2198,0.3623,0.3623,0.3623,0.3623]"
O1,"[0,0,0,0,0,0.0737,0.0145,0.0145,0,0,0,0,0,0,0]"
O2,"[0.0314,0.0314,0.0314,0.0314,0.0314,0.3937,0.3623,0.3623,0.0314,0.0314,0.3949,0.3623,0.3623,0.3623,0.3623]"
