Parameter,Values
FT7,"[0.4408,0.4251,0.3966,0.3966,0.4251,0.4171,0.4171,0.4171,0.4111,0.3853,0.4336,0.43,0.43,0.43,0.3116]"
FT8,"[0.3333,0.43,0.0855,0.0855,0.4275,0.3176,0.3157,0.3157,0.3157,0.0367,0.32,0.4203,0.4203,0.4203,0.4094]"
Cz,"[0.4396,0.4251,0,0,0.0754,0.0622,0.0575,0.0568,0.0523,0.0331,0.0621,0,0,0,0]"
C3,"[0.4287,0.4251,0,0,0.0742,0.0705,0.0705,0.0705,0.0598,0.0403,0.0705,0.0676,0.0676,0.0676,0]"
C4,"[0.0797,0.0797,0,0,0.0698,0,0,0,0,0,0,0,0,0,0]"
CP3,"[0.0459,0.0459,0.0412,0.0412,0.0384,0.0452,0.0415,0.0415,0.0415,0,0,0,0,0,0]"
CP4,"[0,0,0.0424,0.0424,0,0,0,0,0,0,0,0,0,0,0]"
Pz,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
P3,"[0.1932,0.1932,0.0717,0.0717,0.0657,0.192,0.0713,0.0713,0.0713,0.0423,0.0435,0.0435,0.0217,0.0217,0.0217]"
P4,"[0.3901,0.3901,0.0742,0.0742,0.0428,0.0452,0.0452,0.0452,0.0452,0.0423,0.3937,0.3937,0.3768,0.3768,0.3768]"
PO3,"[0.3937,0.3937,0.0911,0.0911,0.0809,0.2971,0.2053,0.2053,0.2053,0.186,0.087,0.087,0.0314,0.0314,0.0314]"
PO4,"[0.2886,0.2886,0.2094,0.2094,0.1877,0.192,0.192,0.192,0.192,0.186,0.3937,0.3937,0.3768,0.3768,0.3768]"
Oz,"[0.2923,0.2923,0.2935,0.2935,0.2065,0.2488,0.2585,0.2585,0.2585,0.2488,0.2609,0.2609,0.3768,0.3768,0.3768]"
O1,"[0.2198,0.2198,0.2186,0.2186,0.0894,0.2609,0.2971,0.2971,0.2971,0.2899,0.0435,0.0435,0.0217,0.0217,0.0217]"
O2,"[0.2633,0.2633,0.3225,0.3225,0.3882,0.3068,0.2935,0.2935,0.2935,0.2899,0.3937,0.3937,0.3768,0.3768,0.3768]"
