Parameter,Values
Pz,"[0.4831,0.4831,0.4758,0.1232,0,0.48,0.1063,0,0,0,0.5773,0.5773,0.5749,0.5503,0.5471]"
P3,"[0.4994,0.4918,0.4965,0.4916,0.4638,0.4901,0.4793,0.4649,0.4673,0.4525,0.5803,0.58,0.5772,0.5678,0.5525]"
P4,"[0.4976,0.4976,0.4952,0.4952,0.4807,0.4522,0.4507,0.4855,0.4855,0.4662,0.5856,0.6247,0.6562,0.5472,0.5346]"
PO3,"[0.4925,0.4728,0.4721,0.4745,0.4514,0.5424,0.4821,0.4749,0.4688,0.4622,0.5623,0.5598,0.555,0.5523,0.5474]"
PO4,"[0.4938,0.4902,0.4845,0.4845,0.4699,0.4993,0.4823,0.4666,0.4719,0.4699,0.5647,0.5622,0.5622,0.5394,0.5522]"
Oz,"[0.4778,0.4824,0.4804,0.4804,0.4804,0.5145,0.4976,0.4914,0.4866,0.4732,0.5705,0.5552,0.5472,0.5553,0.5377]"
O1,"[0.4835,0.4695,0.4591,0.4591,0.4519,0.5097,0.4952,0.4866,0.4848,0.4701,0.5647,0.5767,0.5743,0.5442,0.5362]"
O2,"[0.4938,0.4944,0.4821,0.4821,0.4699,0.521,0.4993,0.4786,0.4728,0.4684,0.5695,0.5598,0.555,0.5409,0.5449]"


