Parameter,Values
FC5,"[0.314,0.3285,0.2512,0.1993,0.1461,0.2911,0.2911,0.2911,0.1594,0.1377,0.4531,0.4072,0.3671,0.3671,0.4553]"
FC6,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
FT7,"[0.128,0.1184,0.1135,0.1164,0.0947,0.0874,0.0874,0.085,0.085,0.0145,0.1051,0.0935,0.0928,0.0915,0.0915]"
FT8,"[0,0,0,0,0,0,0,0,0,0,0.1051,0.0935,0.0928,0.0915,0.0915]"
Cz,"[0,0,0,0,0,0,0,0,0,0,0.0145,0,0,0,0]"
C3,"[0.1594,0.1594,0.099,0.0935,0,0.0947,0.0947,0.0947,0.0855,0.0749,0.0145,0,0,0,0]"
C4,"[0.1002,0.1002,0.0966,0.0899,0.0814,0,0,0,0,0,0,0,0,0,0]"
CP3,"[0.0848,0.0848,0,0,0,0,0,0,0,0,0,0,0,0,0]"
CP4,"[0.3019,0.3019,0.2947,0.1679,0.151,0.1147,0.1147,0.1123,0.1087,0.0942,0.4783,0.4638,0.4614,0.4589,0.4589]"
Pz,"[0.4689,0.4384,0.4174,0.285,0.2428,0.4657,0.4657,0.4314,0.4556,0.4068,0.4022,0.4615,0.3651,0.3507,0.4106]"
P3,"[0.4534,0.4175,0.4196,0.4143,0.3942,0.4581,0.4581,0.4279,0.4259,0.4344,0.4897,0.4621,0.4409,0.4138,0.3776]"
P4,"[0.5269,0.5416,0.4741,0.4455,0.3879,0.43,0.43,0.3963,0.4168,0.3551,0.4356,0.434,0.4195,0.3986,0.3916]"
PO3,"[0.4345,0.4188,0.4196,0.4118,0.3966,0.4511,0.4533,0.44,0.4597,0.4393,0.48,0.4283,0.427,0.3897,0.3897]"
PO4,"[0.4472,0.4669,0.427,0.4199,0.3734,0.4725,0.4651,0.4746,0.4948,0.3941,0.4598,0.4404,0.4414,0.3935,0.3675]"
Oz,"[0.4365,0.4113,0.4075,0.4176,0.3116,0.4744,0.4816,0.4634,0.4551,0.4388,0.4574,0.4301,0.3979,0.3741,0.3646]"
O1,"[0.4487,0.4075,0.3887,0.3935,0.3575,0.4767,0.4767,0.4839,0.4779,0.4225,0.4957,0.4836,0.457,0.3696,0.372]"
O2,"[0.4703,0.4703,0.4674,0.4674,0.4444,0.4657,0.4681,0.4878,0.4817,0.393,0.4231,0.4069,0.3616,0.364,0.3693]"

