Parameter,Values
fingerSpO2,"[82.0,82.1,82.2,82.3,82.4,82.5,82.6,82.7,82.8,82.9,83.0,83.1,83.2,83.3,83.4,83.5,83.6,83.7,83.8,83.9,84.0,84.1,84.2,84.3,84.4,84.5,84.6,84.7,84.8,84.9,85.0,85.1,85.2,85.3,85.4,85.5,85.6,85.7,85.8,85.9,86.0,86.1,86.2,86.3,86.4,86.5,86.6,86.7,86.8,86.9,87.0,87.1,87.2,87.3,87.4,87.5,87.6,87.7,87.8,87.9,88.0,88.1,88.2,88.3,88.4,88.5,88.6,88.7,88.8,88.9,89.0,89.1,89.2,89.3,89.4,89.5,89.6,89.7,89.8,89.9,90.0,90.1,90.2,90.3,90.4,90.5,90.6,90.7,90.8,90.9,91.0,91.1,91.2,91.3,91.4,91.5,91.6,91.7,91.8,91.9,92.0,92.1,92.2,92.3,92.4,92.5,92.6,92.7,92.8,92.9,93.0,93.1,93.2,93.3,93.4,93.5,93.6,93.7,93.8,93.9,94.0,94.1,94.2,94.3,94.4,94.5,94.6,94.7,94.8,94.9,95.0,95.1,95.2,95.3,95.4,95.5,95.6,95.7,95.8,95.9,96.0,96.1,96.2,96.3,96.4,96.5,96.6,96.7,96.8,96.9,97.0,97.1,97.2,97.3,97.4,97.5,97.6,97.7,97.8,97.9,98.0,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,100.0,0.0]"
fingerSKT,"[34.1,34.0]"
Fp1,"[0.542,0.5372,0.486,0.4486,0.3133,0.029,0.029,0.0266,0.0266,0.0266,0.3906,0.4231,0.3792,0.3657,0.3152]"
Fp2,"[0.4695,0.5331,0.5657,0.533,0.4492,0.3515,0.3619,0.3618,0.3525,0.3363,0.4233,0.4173,0.4151,0.38,0.4122]"
AF3,"[0.4741,0.4722,0.4686,0.4621,0.4277,0.4565,0.4565,0.4034,0.3986,0.4396,0.4297,0.4261,0.4167,0.4626,0.4498]"
AF4,"[0.3443,0.3708,0.3672,0.3606,0.3381,0.4055,0.4055,0.3754,0.371,0.3261,0.4344,0.4006,0.4051,0.3965,0.3345]"
Fz,"[0.4741,0.4722,0.4686,0.4621,0.3429,0.3831,0.3903,0.3116,0.3116,0.4396,0.4746,0.465,0.4626,0.4626,0.4498]"
F7,"[0.4582,0.3355,0.3162,0.2855,0.2744,0.1594,0.1594,0.0411,0.0411,0.0411,0.4614,0.4541,0.4493,0.4469,0.3725]"
F8,"[0.4042,0.3657,0.3536,0.3631,0.1569,0.3527,0.3337,0.3506,0.3338,0.3338,0.4738,0.4122,0.3835,0.4546,0.1599]"
FC5,"[0.3717,0.2383,0.2274,0.2085,0.2041,0.3696,0.3696,0.0266,0.0266,0.0266,0.3471,0.4541,0.4493,0.4469,0.3338]"
FC6,"[0.3376,0.465,0.4614,0.4548,0.4468,0.3811,0.3644,0.3561,0.3451,0.4324,0.4396,0.4265,0.4151,0.0983,0.4225]"
FT7,"[0.4454,0.286,0.2715,0.2469,0.2403,0.3696,0.3696,0.0411,0.0411,0.0411,0.4614,0.4541,0.4493,0,0.4208]"
FT8,"[0.3762,0.465,0.4614,0.4548,0.0823,0.4348,0.0918,0.0894,0.087,0.087,0.4577,0.4493,0.1031,0,0.0853]"
Cz,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
C3,"[0.1032,0.0934,0,0,0,0,0,0,0,0,0,0,0,0.1051,0]"
C4,"[0.0702,0.0468,0.0627,0.0596,0.0578,0.0217,0.0217,0.0217,0.0217,0.0217,0.0145,0.0145,0.0145,0,0]"
CP3,"[0.3047,0.2923,0.4437,0.0966,0.0917,0.3744,0.3986,0.4396,0.4396,0.4251,0.4171,0.4377,0.4614,0.1051,0.1007]"
CP4,"[0.1395,0.1318,0.127,0.1188,0.1165,0.0314,0.0314,0.0314,0.0314,0.0314,0.0145,0.0145,0.0145,0,0]"
Pz,"[0.3693,0.3666,0.3629,0.4603,0.2405,0.4396,0.4396,0.0894,0.087,0.087,0.4952,0.47,0.4109,0.337,0.2971]"
P3,"[0.4116,0.4164,0.3995,0.3582,0.3462,0.4314,0.4068,0.3966,0.4111,0.3662,0.4577,0.4867,0.4082,0.3785,0.3572]"
P4,"[0.1997,0.1878,0.1801,0.1666,0.1635,0.0217,0.0217,0.0217,0.0217,0.0217,0.0995,0,0,0,0]"
PO3,"[0.413,0.4658,0.4261,0.4186,0.4621,0.4196,0.4013,0.4048,0.3845,0.3952,0.4465,0.4155,0.4657,0.428,0.4771]"
PO4,"[0.0813,0.0796,0.0772,0.0145,0.0145,0.4239,0.4239,0.4215,0.4215,0.4155,0.3708,0.2886,0.2633,0.2572,0.4297]"
Oz,"[0.2284,0.2242,0.2157,0.0998,0.0974,0.2884,0.2884,0.2367,0.2367,0.2778,0.3732,0.2609,0.2548,0.2572,0.3164]"
O1,"[0.5045,0.4931,0.4588,0.3303,0.3429,0.3816,0.3889,0.4092,0.3896,0.3874,0.4509,0.4578,0.3834,0.4689,0.4627]"
O2,"[0.1563,0.1538,0.1485,0.0145,0.0145,0.4239,0.4239,0.4215,0.4215,0.4155,0.4655,0.442,0.4353,0.4353,0.4297]"

