Value(ms)
640.625
1468.75
1484.375
1765.625
1578.125
2031.25
656.25
1468.75
1781.25
1687.5
1375
1234.375
1375
656.25
1656.25
1578.125
781.25
1984.375
1453.125
1703.125
2187.5
1718.75
1937.5
2312.5
1578.125
1734.375
718.75
1734.375
2031.25
1765.625
2296.875
1687.5
2140.625
1640.625
1734.375
750
1671.875
1468.75
2031.25
859.375
1312.5
1890.625
1140.625
1625
1250
1531.25
1593.75
1343.75
1093.75
1734.375
1468.75
1500
796.875
750
765.625
1500
1593.75
1171.875
1484.375
968.75
734.375
1015.625
1250
1437.5
1453.125
1406.25
703.125
843.75
859.375
953.125
1437.5
750
750
1390.625
1453.125
1390.625
1468.75
1296.875
1703.125
1562.5
1593.75
796.875
1500
2062.5
1468.75
1406.25
1562.5
1515.625
937.5
968.75
765.625
1453.125
1453.125
2000
1875
1781.25
2062.5
1656.25
2234.375
1437.5
1406.25
656.25
1515.625
1218.75
1687.5
2046.875
1687.5
1671.875
1703.125
2062.5
2187.5
625
796.875
671.875
625
1406.25
1656.25
640.625
984.375
1531.25
828.125
1656.25
1500
1484.375
1562.5
1765.625
1890.625
1890.625
1312.5
1734.375
671.875
1812.5
1500
1921.875
625
1531.25
2031.25
1500
734.375
1562.5
656.25
1250
1921.875
1625
2031.25
671.875
1187.5
1546.875
609.375
1437.5
1640.625
1437.5
1468.75
718.75
1437.5
2125
671.875
1375
1750
2046.875
1906.25
1593.75
2140.625
703.125
1375
1703.125
1656.25
1500
1375
1453.125
1843.75
1546.875
671.875
1531.25
1468.75
1625
750
1515.625
1593.75
2000
1578.125
703.125
1828.125
2062.5
1343.75
1546.875
1328.125
1328.125
1875
2000
1906.25
1656.25
1812.5
2062.5
1546.875
1343.75
1703.125
906.25
1453.125
1671.875
1531.25
1984.375
1578.125
1921.875
1484.375
1140.625
