sessionId,edge_feature
1,0.838045193
1,0.896179891
1,0.853823082
1,0.842650007
1,0.779004143
1,0.758867167
1,0.746277711
1,0.77566228
1,0.729191279
1,0.800085416
1,0.784692147
1,0.796293341
1,0.784241083
1,0.738784096
1,0.750391781
1,0.830695292
1,0.750865217
1,0.75251703
1,0.722090668
1,0.808944125
1,0.723335183
1,0.767587815
1,0.835499965
1,0.796073579
1,0.830473527
2,0.852979142
2,0.906720855
2,0.82831644
2,0.838866793
2,0.869624757
2,0.834184974
2,0.828691222
2,0.787858088
2,0.845722144
2,0.890436474
2,0.85969253
2,0.766445125
2,0.760910033
2,0.804618286
2,0.849012446
2,0.762851934
2,0.81401122
2,0.802840553
2,0.828212782
2,0.738464687
2,0.752026988
2,0.88905397
2,0.753749329
2,0.736826518
2,0.850771719
2,0.725721643
2,0.817253796
2,0.824987327
2,0.72810589
2,0.805178152
2,0.859109451
2,0.726544968
2,0.754218956
2,0.848349584
2,0.745364744
2,0.883342303
2,0.773562243
2,0.794582375
2,0.882373574
2,0.874688164
2,0.76717627
2,0.737935116
2,0.841317021
2,0.841233528
2,0.747131306
2,0.882267529
2,0.894844592
2,0.743518624
3,0.909293987
3,0.811494759
3,0.905870616
3,0.89701362
3,0.810628386
3,0.80866607
3,0.923953072
3,0.834373404
3,0.730466866
3,0.730645242
3,0.794066853
3,0.734732218
3,0.726357592
3,0.725500697
3,0.729716379
3,0.755301965
3,0.773395412
3,0.720780094
3,0.785475598
3,0.802825515
3,0.816773614
3,0.802422781
3,0.840879853
3,0.866716982
3,0.848781042
4,0.857232281
4,0.811574172
4,0.784904938
4,0.761424904
4,0.834105354
4,0.8579585
4,0.903772713
4,0.802456556
4,0.721967374
4,0.738742486
4,0.734459001
4,0.812363641
4,0.808849744
4,0.736258309
4,0.733745881
4,0.801395687
4,0.797243881
4,0.75879778
4,0.813389314
4,0.826041672
4,0.73887719
4,0.75546073
4,0.880114993
4,0.802829014
4,0.787103033
4,0.813801378
4,0.732916332
4,0.849787293
4,0.815185052
4,0.876887166
4,0.793921006
4,0.737594146
4,0.764146941
4,0.88196735
4,0.897275027
4,0.772986557
4,0.756335126
4,0.788244222
4,0.780913227
4,0.738364229
4,0.763566732
4,0.934713251
4,0.861375755
4,0.755374022
5,0.85295557
5,0.764257988
5,0.813477476
5,0.903971675
5,0.742288644
5,0.773995015
5,0.751544323
5,0.79849165
5,0.822184454
5,0.799742662
5,0.768221698
5,0.754796781
5,0.773911824
5,0.731081633
5,0.725511344
5,0.736515123
5,0.78310692
5,0.80210343
5,0.761829444
5,0.782078174
6,0.935744553
6,0.769468606
6,0.722500921
6,0.868602349
6,0.906885939
6,0.806171116
6,0.721089596
6,0.870688826
6,0.825152994
6,0.856366137
6,0.800899313
6,0.755302376
6,0.783048271
6,0.801214802
6,0.86849146
6,0.778630559
6,0.738957908
6,0.773849535
6,0.724692341
6,0.729072992
6,0.859985305
6,0.853060897
6,0.826484265
6,0.785225562
6,0.734598426
6,0.914702482
6,0.737758563
6,0.918987367
6,0.876369258
6,0.887476976
6,0.74980819
6,0.824376061
6,0.78357356
6,0.80426928
6,0.745056855
6,0.748524244
6,0.748040166
6,0.909169752
6,0.808950708
6,0.830067633
6,0.774806643
7,0.855416173
7,0.842207448
7,0.839869733
7,0.762332861
7,0.764800344
7,0.884981391
7,0.793389127
7,0.743327928
7,0.768687647
7,0.770134955
7,0.73499444
7,0.75694235
7,0.749872542
7,0.78623385
7,0.808719925
7,0.807797547
7,0.777388634
7,0.74650533
7,0.756066349
7,0.74987459
7,0.794413427
7,0.778655884
7,0.767145578
7,0.784984026
7,0.832642359
7,0.74352983
7,0.911792641
7,0.861754875
7,0.835569628
7,0.756460531
7,0.723077309
7,0.877015888
7,0.743276451
7,0.729083305
7,0.775989518
7,0.835971724
7,0.76643696
7,0.75432364
7,0.796281201
7,0.752191097
7,0.740955799
7,0.806196206
7,0.850636857
7,0.861783045
7,0.861933431
7,0.799154942
7,0.726133176
7,0.769786214
7,0.876438332
7,0.781937474
7,0.894847235
7,0.778860615
7,0.786667511
7,0.836186665
7,0.775972555
7,0.806561401
7,0.721123143
7,0.919436922
7,0.8978523
7,0.887214619
8,0.765689633
8,0.813017655
8,0.724108061
8,0.841444444
8,0.726428101
8,0.76009589
8,0.768303288
8,0.753185832
8,0.817436595
8,0.754944817
8,0.728268088
8,0.821459109
8,0.726522546
8,0.797654941
8,0.745753062
8,0.774117371
8,0.841029561
8,0.845045054
8,0.771321759
8,0.815984206
9,0.902251191
9,0.928619529
9,0.837331235
9,0.840905987
9,0.859491347
9,0.833079774
9,0.783681225
9,0.74560671
9,0.84282424
9,0.818781121
9,0.802070054
9,0.793007369
9,0.771265911
9,0.740344213
9,0.771182193
9,0.8179589
9,0.74814989
9,0.870553185
9,0.771881896
9,0.761268314
9,0.763545639
9,0.763629032
9,0.787115152
9,0.74912162
9,0.75547592
9,0.736720823
9,0.758176889
9,0.822329505
9,0.763597553
9,0.752407104
9,0.754862773
9,0.766669431
9,0.7750205
9,0.786491628
9,0.781144075
9,0.740146588
9,0.785498267
9,0.767620455
9,0.874386206
9,0.817538157
9,0.802596442
9,0.805286406
9,0.790314075
9,0.738170244
9,0.785763754
9,0.749178877
9,0.856324063
9,0.727849714
9,0.728923121
9,0.735385787
9,0.764595767
9,0.796621996
9,0.745876141
9,0.734482563
9,0.835159613
9,0.908242952
9,0.724234667
9,0.745791605
9,0.723156612
9,0.767734443
9,0.831252796
9,0.878908026
9,0.803952987
10,0.895405788
10,0.872096658
10,0.773290247
10,0.855645
10,0.855636753
10,0.846761057
10,0.727516061
10,0.864787023
10,0.801838754
10,0.744906437
10,0.769024029
10,0.763313147
10,0.773566444
10,0.74101274
10,0.794864845
10,0.726011402
10,0.733228605
10,0.817422539
10,0.785108845
10,0.760782003
10,0.791584762
10,0.83841198
10,0.877823098
10,0.780762766
10,0.789394482
10,0.819825142
10,0.834636631
10,0.772951972
10,0.770743413
10,0.78693162
