sessionId,nodeId,degree,cluster,efficiency
361,1,0.043478261,0.333333333,0.202898551
361,2,0,0,0.137681159
361,3,0.065217391,0.5,0.239130435
361,4,0,1,0.173913043
361,5,0,0,0
361,6,0,0,0
361,7,0,0,0
361,8,0,0,0
361,9,0,0,0
361,10,0,0,0
361,11,0,0,0
361,12,0,0,0
361,13,0,0,0
361,14,0,0,0
361,15,0,0,0
361,16,0,0,0
361,17,0,0,0
361,18,0,0,0
361,19,0,0,0
361,20,0.014492754,0.5,0.239130435
361,21,0,0,0
361,22,0,1,0.170289855
361,23,0.072463768,0.333333333,0.231884058
361,24,0,1,0.170289855
362,1,0.166666667,0.428571429,0.405797101
362,2,0,0.833333333,0.333333333
362,3,0,1,0.297101449
362,4,0.144927536,0.5,0.362318841
362,5,0.079710145,0,0.257246377
362,6,0.065217391,0.5,0.351449275
362,7,0.115942029,0.4,0.376811594
362,8,0.079710145,0.5,0.322463768
362,9,0,1,0.253623188
362,10,0,1,0.300724638
362,11,0,0.666666667,0.293478261
362,12,0,0,0.186231884
362,13,0,0,0.211594203
362,14,0,0,0
362,15,0,0,0
362,16,0,0,0
362,17,0,0,0
362,18,0,0,0.130434783
362,19,0,1,0.18115942
362,20,0.065217391,0,0.195652174
362,21,0,1,0.18115942
362,22,0.065217391,0.5,0.217391304
362,23,0,0,0.130434783
362,24,0,1,0.18115942
363,1,0,0.733333333,0.47826087
363,2,0.072463768,0.711111111,0.47826087
363,3,0,0.857142857,0.413043478
363,4,0.065217391,0.733333333,0.47826087
363,5,0,1,0.333333333
363,6,0.050724638,0.75,0.434782609
363,7,0.007246377,0,0.086956522
363,8,0,0,0
363,9,0,0,0.065217391
363,10,0,0,0
363,11,0,0,0.065217391
363,12,0,0,0
363,13,0,0,0
363,14,0,0,0
363,15,0,0,0
363,16,0,0,0
363,17,0,0,0
363,18,0,1,0.311594203
363,19,0,1,0.282608696
363,20,0,0.75,0.456521739
363,21,0.028985507,0.722222222,0.456521739
363,22,0,0.952380952,0.413043478
363,23,0,0.80952381,0.405797101
363,24,0.028985507,0.733333333,0.47826087
364,1,0,0.844444444,0.601449275
364,2,0.065217391,0.781818182,0.623188406
364,3,0.15942029,0.653846154,0.666666667
364,4,0.014492754,0.755555556,0.59057971
364,5,0,1,0.467391304
364,6,0.231884058,0.75,0.586956522
364,7,0.043478261,0.755555556,0.601449275
364,8,0,0,0.268115942
364,9,0,0,0
364,10,0.123188406,0,0.376811594
364,11,0,0,0
364,12,0,0,0
364,13,0,0,0
364,14,0,0,0
364,15,0,1,0.467391304
364,16,0,0,0.358695652
364,17,0.028985507,0.844444444,0.601449275
364,18,0.072463768,0.666666667,0.655797101
364,19,0.123188406,0.709090909,0.623188406
364,20,0.036231884,0.777777778,0.561594203
364,21,0.007246377,0.705128205,0.666666667
364,22,0,0.892857143,0.539855072
364,23,0,0.892857143,0.539855072
364,24,0.02173913,0.705128205,0.666666667
365,1,0,0,0.123188406
365,2,0.065217391,0,0.195652174
365,3,0,0,0
365,4,0,0,0.123188406
365,5,0,0,0
365,6,0,1,0.086956522
365,7,0.028985507,0,0.152173913
365,8,0,1,0.086956522
365,9,0,0,0
365,10,0,1,0.086956522
365,11,0,0,0.108695652
365,12,0,0,0
365,13,0,0,0
365,14,0,0,0
365,15,0,0,0
365,16,0,0,0
365,17,0,0,0.123188406
365,18,0,0,0
365,19,0,0,0
365,20,0,0,0
365,21,0,0,0
365,22,0,0,0
365,23,0,0,0
365,24,0,0,0
366,1,0,0.9,0.31884058
366,2,0.02173913,0.9,0.31884058
366,3,0,0,0
366,4,0,0.9,0.31884058
366,5,0,0,0
366,6,0,1,0.239130435
366,7,0.115942029,0.466666667,0.34057971
366,8,0.02173913,0.533333333,0.333333333
366,9,0,1,0.22826087
366,10,0.123188406,0.523809524,0.369565217
366,11,0,1,0.22826087
366,12,0,0,0
366,13,0.065217391,0.333333333,0.268115942
366,14,0,0,0
366,15,0,0,0.18115942
366,16,0,0,0
366,17,0,0,0
366,18,0,0,0
366,19,0,0,0
366,20,0,0,0
366,21,0,0,0
366,22,0,1,0.086956522
366,23,0,1,0.086956522
366,24,0,1,0.086956522
367,1,0.036231884,0.67032967,0.710144928
367,2,0.028985507,0.772727273,0.666666667
367,3,0.130434783,0.619047619,0.731884058
367,4,0.02173913,0.730769231,0.688405797
367,5,0,1,0.489130435
367,6,0.137681159,0.666666667,0.550724638
367,7,0,1,0.525362319
367,8,0.130434783,0.333333333,0.427536232
367,9,0.130434783,0.711111111,0.612318841
367,10,0,0,0.292753623
367,11,0,0,0.360144928
367,12,0,0,0
367,13,0,0,0
367,14,0,0,0
367,15,0,0,0.352898551
367,16,0,0,0
367,17,0.007246377,0.9,0.5
367,18,0.130434783,0.722222222,0.59057971
367,19,0.101449275,0.681818182,0.65942029
367,20,0.123188406,0.730769231,0.688405797
367,21,0.028985507,0.888888889,0.608695652
367,22,0,1,0.586956522
367,23,0.072463768,0.717948718,0.688405797
367,24,0.014492754,0.836363636,0.637681159
368,1,0.166666667,0.6,0.630434783
368,2,0,0.761904762,0.550724638
368,3,0.15942029,0.5,0.688405797
368,4,0.289855072,0.575757576,0.65942029
368,5,0,1,0.503623188
368,6,0.173913043,0.5,0.471014493
368,7,0.144927536,0.611111111,0.594202899
368,8,0,0.666666667,0.384057971
368,9,0,1,0.460144928
368,10,0,1,0.329710145
368,11,0,0,0.355072464
368,12,0,0,0
368,13,0,0,0
368,14,0,0,0
368,15,0,0,0.347826087
368,16,0,0,0
368,17,0.108695652,0.619047619,0.565217391
368,18,0.137681159,0.642857143,0.572463768
368,19,0.065217391,0.533333333,0.528985507
368,20,0.028985507,0.563636364,0.637681159
368,21,0.014492754,0.555555556,0.594202899
368,22,0,0.904761905,0.525362319
368,23,0,0.785714286,0.547101449
368,24,0,0.904761905,0.525362319
369,1,0.253623188,0.416666667,0.536231884
369,2,0,0.8,0.463768116
369,3,0.057971014,0.464285714,0.507246377
369,4,0.028985507,0.333333333,0.380434783
369,5,0.028985507,0.666666667,0.391304348
369,6,0.108695652,0.333333333,0.413043478
369,7,0.123188406,0.476190476,0.492753623
369,8,0,0,0
369,9,0,0,0
369,10,0,0,0
369,11,0,0,0
369,12,0,0,0
369,13,0,0,0
369,14,0,0,0
369,15,0,0,0.289855072
369,16,0,0,0.315217391
369,17,0,0,0.300724638
369,18,0.115942029,0.4,0.463768116
369,19,0,0,0.27173913
369,20,0.065217391,0.666666667,0.485507246
369,21,0.123188406,0.5,0.507246377
369,22,0.014492754,0.833333333,0.405797101
369,23,0,0,0.282608696
369,24,0.115942029,0.333333333,0.449275362
370,1,0.028985507,0.666666667,0.34057971
370,2,0,0.9,0.311594203
370,3,0.057971014,0.607142857,0.391304348
370,4,0,1,0.289855072
370,5,0.065217391,0.333333333,0.304347826
370,6,0,0.9,0.31884058
370,7,0,0.714285714,0.362318841
370,8,0.065217391,0.466666667,0.347826087
370,9,0.050724638,0.714285714,0.362318841
370,10,0,0,0
370,11,0,0,0
370,12,0,0,0.195652174
370,13,0,0,0.210144928
370,14,0,0,0
370,15,0,0,0
370,16,0,0,0
370,17,0,0.666666667,0.217391304
370,18,0,1,0.188405797
370,19,0,1,0.188405797
370,20,0.050724638,0.466666667,0.282608696
370,21,0.036231884,0.5,0.260869565
370,22,0.007246377,0.833333333,0.239130435
370,23,0,1,0.217391304
370,24,0.007246377,0.6,0.260869565
371,1,0.02173913,0,0.130434783
371,2,0,0,0.094202899
371,3,0.036231884,0,0.152173913
371,4,0,0,0.101449275
371,5,0,0,0.101449275
371,6,0,0,0.043478261
371,7,0,0,0.043478261
371,8,0,0,0
371,9,0,0,0
371,10,0,0,0.043478261
371,11,0,0,0.043478261
