Value(ms)
1734.375
1531.25
1656.25
2750
1703.125
1625
1421.875
2859.375
1187.5
2531.25
1359.375
2640.625
1109.375
3546.875
1421.875
1000
1796.875
859.375
1953.125
1671.875
1218.75
2296.875
1484.375
1203.125
1125
1671.875
781.25
1281.25
1406.25
1906.25
1890.625
1500
1265.625
2031.25
1546.875
1609.375
2109.375
1593.75
1609.375
1328.125
1468.75
1578.125
1796.875
968.75
1375
1359.375
1843.75
1937.5
2156.25
1734.375
1156.25
1390.625
1234.375
875
1359.375
1406.25
1437.5
2343.75
1953.125
1203.125
1625
1812.5
937.5
1656.25
1312.5
2187.5
984.375
2750
2375
1718.75
1640.625
1890.625
1812.5
1453.125
2234.375
1250
1156.25
1812.5
1531.25
4078.125
1500
4218.75
1281.25
3515.625
2015.625
984.375
1578.125
4093.75
1656.25
2093.75
1890.625
1781.25
1375
2000
2828.125
1187.5
968.75
1015.625
3046.875
2046.875
1031.25
2093.75
1593.75
1203.125
2093.75
1281.25
1265.625
1015.625
1265.625
2375
1750
2031.25
1593.75
2171.875
1718.75
2031.25
1031.25
1031.25
984.375
1984.375
1218.75
2062.5
2015.625
1343.75
6140.625
1453.125
1687.5
1296.875
1734.375
2468.75
1656.25
2015.625
4265.625
3656.25
2109.375
2062.5
1234.375
1796.875
1015.625
1000
2843.75
1031.25
890.625
2140.625
1234.375
1640.625
1218.75
1000
1437.5
1000
859.375
1484.375
1656.25
1000
1031.25
1000
875
1750
1812.5
3468.75
1640.625
2437.5
1234.375
1906.25
2031.25
1796.875
2031.25
2109.375
2000
3968.75
