Value(ms)
2109.375
1296.875
718.75
1234.375
640.625
1265.625
843.75
1093.75
1062.5
1187.5
1093.75
1046.875
1781.25
1156.25
1531.25
1406.25
750
1031.25
1015.625
968.75
1890.625
1546.875
1453.125
1062.5
1062.5
984.375
1015.625
1046.875
1015.625
687.5
1281.25
1812.5
765.625
937.5
1859.375
906.25
953.125
1015.625
1000
1062.5
1625
718.75
953.125
968.75
859.375
796.875
875
890.625
875
859.375
1000
1140.625
2140.625
1171.875
1140.625
1062.5
1062.5
1093.75
921.875
984.375
984.375
812.5
1046.875
1031.25
1093.75
1953.125
1546.875
1859.375
1484.375
921.875
1218.75
828.125
1593.75
1078.125
734.375
1625
1250
921.875
1078.125
1484.375
1000
968.75
1328.125
1328.125
1046.875
671.875
1125
1484.375
890.625
921.875
859.375
1015.625
937.5
859.375
1468.75
734.375
1000
1125
1593.75
906.25
1296.875
781.25
1015.625
890.625
1609.375
671.875
1234.375
1000
953.125
937.5
937.5
1015.625
1015.625
1031.25
984.375
609.375
2000
1781.25
750
1250
1093.75
1015.625
984.375
859.375
1718.75
953.125
1031.25
906.25
953.125
1000
1265.625
640.625
1921.875
1328.125
1546.875
984.375
1312.5
609.375
1375
1453.125
671.875
1296.875
781.25
1078.125
1859.375
1953.125
1828.125
1687.5
1250
1015.625
1671.875
968.75
1156.25
953.125
843.75
1937.5
984.375
921.875
859.375
1281.25
640.625
968.75
765.625
1031.25
921.875
1312.5
859.375
703.125
671.875
1343.75
1953.125
1796.875
1281.25
1562.5
1203.125
1140.625
1250
828.125
1109.375
1171.875
656.25
984.375
718.75
937.5
718.75
1234.375
1468.75
671.875
1140.625
1109.375
843.75
1140.625
1953.125
1843.75
1359.375
625
1078.125
1140.625
1375
625
984.375
1031.25
1328.125
1890.625
1093.75
1078.125
2031.25
1078.125
937.5
1921.875
1562.5
671.875
1250
1218.75
734.375
1484.375
1109.375
1046.875
1078.125
1062.5
937.5
1828.125
1140.625
1015.625
1109.375
1203.125
1078.125
1187.5
1109.375
890.625
1156.25
2140.625
1171.875
812.5
1265.625
859.375
984.375
1343.75
750
1187.5
1140.625
1078.125
1156.25
1093.75
1031.25
859.375
890.625
1953.125
1109.375
1109.375
1000
1046.875
1218.75
1109.375
1281.25
968.75
2000
1703.125
1281.25
609.375
